,Customer ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Churn Value,CLTV,Churn Category,Churn Reason,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction
0,8779-QRDMV,No,0,1,,No,0.0,No,Yes,Fiber Optic,9,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,41.236,39.65,0.0,0.0,0.0,Male,78,No,Yes,No,No,0,Los Angeles,90022,34.02381,-118.156582,68701,1,5433,Competitor,Competitor offered more data,5,0,
1,7495-OOKFY,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Cable,19,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,83.876,633.3,0.0,120.0,390.8,Female,74,No,Yes,Yes,Yes,1,Los Angeles,90063,34.044271,-118.185237,55668,1,5302,Competitor,Competitor made better offer,5,0,
2,1658-BYGOY,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,57,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.268,1752.55,45.61,0.0,203.94,Male,71,No,Yes,No,Yes,3,Los Angeles,90065,34.108833,-118.229715,47534,1,3179,Competitor,Competitor made better offer,1,0,
3,4598-XLKNJ,Yes,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,13,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,102.44,2514.5,13.43,327.0,494.00000000000006,Female,78,No,Yes,Yes,Yes,1,Inglewood,90303,33.936291,-118.332639,27778,1,5337,Dissatisfaction,Limited range of services,1,1,2.0
4,4846-WHAFZ,Yes,1,37,Offer C,Yes,6.33,Yes,Yes,Cable,15,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.56,2868.15,0.0,430.0,234.21,Female,80,No,Yes,Yes,Yes,1,Whittier,90602,33.972119,-118.020188,26265,1,2793,Price,Extra data charges,1,0,2.0
5,4412-YLTKF,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,20,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.172,2135.5,0.0,427.0,89.91,Female,72,No,Yes,No,Yes,1,Pico Rivera,90660,33.989524,-118.089299,63288,1,4638,Competitor,Competitor had better devices,0,0,
6,0390-DCFDQ,Yes,1,1,Offer E,Yes,15.28,No,Yes,Cable,33,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,73.268,70.45,0.0,0.0,15.28,Female,76,No,Yes,Yes,Yes,2,Los Alamitos,90720,33.79499,-118.065591,21343,1,3964,Other,Don't know,7,0,
7,3445-HXXGF,Yes,6,58,Offer B,No,0.0,No,Yes,Cable,26,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,47.112,2651.2,40.95,689.0,0.0,Male,66,No,Yes,Yes,No,0,Sierra Madre,91024,34.168686,-118.057505,10558,1,5444,Dissatisfaction,Service dissatisfaction,2,1,1.0
8,2656-FMOKZ,No,0,15,Offer D,Yes,44.07,Yes,Yes,Cable,21,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,77.42800000000001,1145.7,0.0,241.0,661.05,Female,70,No,Yes,No,Yes,2,Pasadena,91106,34.139402,-118.128658,23742,1,5717,Dissatisfaction,Limited range of services,3,0,2.0
9,2070-FNEXE,No,0,7,Offer E,Yes,26.95,No,Yes,DSL,20,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,79.50800000000001,503.6,11.05,101.0,188.65,Female,77,No,Yes,No,Yes,2,Pasadena,91107,34.159007,-118.087353,32369,1,4419,Price,Lack of affordable download/upload speed,3,0,
10,0094-OIFMO,No,0,11,Offer D,Yes,11.59,No,Yes,DSL,32,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.8,1120.3,0.0,358.0,127.49,Female,78,No,Yes,No,Yes,1,North Hollywood,91605,34.207295,-118.400022,57146,1,5980,Dissatisfaction,Product dissatisfaction,2,2,1.0
11,9947-OTFQU,No,0,15,Offer D,Yes,29.11,No,Yes,DSL,32,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.376,1074.3,0.0,344.0,436.65,Male,65,No,Yes,No,No,0,Covina,91722,34.097345,-117.906736,33817,1,4616,Competitor,Competitor had better devices,0,0,
12,9514-JDSKI,Yes,1,1,Offer E,No,0.0,No,Yes,Cable,13,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,41.80800000000001,40.2,0.0,0.0,0.0,Male,77,No,Yes,Yes,No,0,El Monte,91732,34.074492,-118.01462,62660,1,5828,Dissatisfaction,Limited range of services,2,0,
13,7273-TEFQD,No,0,3,Offer E,No,0.0,No,Yes,DSL,31,No,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,42.796,132.2,0.0,41.0,0.0,Male,67,No,Yes,No,No,0,La Puente,91746,34.038983,-117.991372,30802,1,2314,Price,Long distance charges,7,1,2.0
14,3606-TWKGI,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,12,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,111.17600000000002,1364.3,0.0,164.0,424.84,Male,68,No,Yes,No,No,0,Rowland Heights,91748,33.976753,-117.897367,46342,1,2494,Competitor,Competitor had better devices,1,2,1.0
15,4385-GZQXV,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,10,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.228,1511.2,0.0,151.0,150.88,Female,68,No,Yes,No,No,0,Ontario,91764,34.074087,-117.605618,49474,1,3810,Competitor,Competitor had better devices,0,0,
16,3488-PGMQJ,No,0,8,,Yes,1.78,No,Yes,Cable,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.48,606.55,0.0,0.0,14.24,Male,66,No,Yes,No,No,0,Alpine,91901,32.827184,-116.703729,16486,1,4345,Dissatisfaction,Poor expertise of online support,5,2,
17,7534-BFESC,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,16,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.14399999999999,1712.7,0.0,0.0,740.88,Male,69,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,34902,1,2018,Competitor,Competitor made better offer,0,0,
18,8098-LLAZX,No,0,4,Offer E,Yes,31.61,Yes,Yes,Cable,2,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.268,396.1,0.0,8.0,126.44,Female,74,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,34902,1,3677,Competitor,Competitor made better offer,4,0,3.0
19,0265-EDXBD,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,DSL,11,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.89600000000002,2303.35,0.0,253.0,1514.88,Male,76,No,Yes,Yes,No,0,San Diego,92122,32.85723,-117.209774,34902,1,4105,Attitude,Attitude of support person,4,0,
20,2840-XANRC,Yes,1,24,Offer C,Yes,16.1,No,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.876,2231.05,0.0,0.0,386.4,Male,77,No,Yes,Yes,No,0,San Diego,92122,32.85723,-117.209774,34902,1,2212,Competitor,Competitor made better offer,1,0,
21,5020-ZSTTY,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,6,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,85.748,4350.1,0.0,0.0,652.32,Female,70,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,34902,1,4149,Competitor,Competitor made better offer,3,0,
22,5804-LEPIM,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,11,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.164,139.05,0.0,15.0,26.34,Female,74,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,34902,1,2671,Other,Don't know,4,0,3.0
23,0623-IIHUG,No,0,21,,No,0.0,No,Yes,DSL,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.576,840.1,0.0,0.0,0.0,Female,77,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,34902,1,4778,Competitor,Competitor made better offer,2,0,
24,9057-MSWCO,No,0,27,,No,0.0,No,Yes,DSL,14,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,31.98,805.1,0.0,113.0,0.0,Male,71,No,Yes,Yes,No,0,San Diego,92122,32.85723,-117.209774,34902,1,2927,Competitor,Competitor made better offer,2,0,
25,4895-TMWIR,Yes,1,11,,Yes,29.54,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0.0,324.94,Male,79,No,Yes,Yes,No,0,San Diego,92122,32.85723,-117.209774,34902,1,5888,Competitor,Competitor made better offer,2,0,
26,0533-BNWKF,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,DSL,30,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.86800000000001,4874.7,0.0,0.0,2355.1,Female,66,No,Yes,Yes,No,0,San Diego,92122,32.85723,-117.209774,34902,1,5502,Competitor,Competitor made better offer,4,0,
27,0334-GDDSO,No,0,3,Offer E,Yes,9.22,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.604,233.7,0.0,3.51,27.660000000000004,Male,77,No,Yes,No,No,0,San Diego,92122,32.85723,-117.209774,34902,1,2818,Competitor,Competitor made better offer,1,3,1.0
28,5564-NEMQO,No,0,1,Offer E,Yes,35.09,No,Yes,Cable,19,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.312,75.3,0.0,0.0,35.09,Female,80,No,Yes,No,No,0,Thermal,92274,33.53604,-116.119222,17018,1,4902,Dissatisfaction,Network reliability,7,1,2.0
29,6235-VDHOM,No,0,5,Offer E,No,0.0,No,Yes,Cable,29,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,29.588,131.05,0.0,38.0,0.0,Female,77,No,Yes,No,No,0,Riverside,92509,34.004379,-117.447864,63999,1,4099,Dissatisfaction,Limited range of services,4,0,2.0
30,5609-CEBID,No,0,20,,Yes,48.73,Yes,Yes,Fiber Optic,13,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,97.864,1782.4,0.0,232.0,974.6,Female,77,No,Yes,No,No,0,Hemet,92544,33.644585,-116.871544,39264,1,2666,Competitor,Competitor had better devices,4,1,1.0
31,5956-VKDTT,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,24,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.324,334.8,0.0,80.0,228.8,Female,72,No,Yes,Yes,No,0,Moreno Valley,92557,33.970661,-117.255039,46214,1,5273,Dissatisfaction,Product dissatisfaction,4,2,1.0
32,0257-ZESQC,Yes,2,27,,Yes,7.02,No,Yes,DSL,28,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.20800000000001,1929.35,0.0,0.0,189.54,Female,80,No,Yes,Yes,No,0,Perris,92571,33.828289,-117.201666,26357,1,4517,Attitude,Attitude of support person,1,0,
33,2865-TCHJW,No,0,4,,Yes,48.35,Yes,Yes,Cable,26,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.768,346.2,0.0,0.0,193.4,Female,74,No,Yes,No,No,0,Anaheim,92807,33.848733,-117.788357,36301,1,5808,Competitor,Competitor had better devices,2,2,1.0
