,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,1h_ocean,inland,island,near_bay,near_ocean
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,83252.0,452600.0,False,False,False,True,False
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,83013.99999999999,358500.0,False,False,False,True,False
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,20804.0,226700.0,False,False,False,True,False
15,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,21250.0,140000.0,False,False,False,True,False
18,-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,19911.0,158700.0,False,False,False,True,False
20,-122.27,37.85,40.0,751.0,184.0,409.0,166.0,13577.999999999998,147500.0,False,False,False,True,False
21,-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,17135.0,159800.0,False,False,False,True,False
25,-122.28,37.85,41.0,535.0,123.0,317.0,119.0,24038.0,107500.0,False,False,False,True,False
26,-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,24597.000000000004,93800.0,False,False,False,True,False
28,-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,16424.0,108900.0,False,False,False,True,False
30,-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,19274.0,122300.0,False,False,False,True,False
32,-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,17969.0,110400.0,False,False,False,True,False
33,-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,13750.0,104900.0,False,False,False,True,False
34,-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,27303.0,109700.0,False,False,False,True,False
35,-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,14861.0,97200.0,False,False,False,True,False
36,-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,10972.0,104500.0,False,False,False,True,False
41,-122.26,37.83,51.0,936.0,311.0,517.0,249.0,12851.999999999998,150000.0,False,False,False,True,False
42,-122.26,37.84,49.0,713.0,202.0,462.0,189.0,10250.0,118800.0,False,False,False,True,False
46,-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,20259.999999999996,142500.0,False,False,False,True,False
47,-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,17348.0,137500.0,False,False,False,True,False
48,-122.26,37.82,40.0,624.0,195.0,423.0,160.0,9506.0,187500.0,False,False,False,True,False
49,-122.27,37.82,40.0,946.0,375.0,700.0,352.0,17750.0,112500.0,False,False,False,True,False
50,-122.27,37.82,21.0,896.0,453.0,735.0,438.0,9218.0,171900.0,False,False,False,True,False
51,-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,15045.0,93800.0,False,False,False,True,False
52,-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,11108.0,97500.0,False,False,False,True,False
59,-122.29,37.82,2.0,158.0,43.0,94.0,57.0,25625.0,60000.0,False,False,False,True,False
61,-122.29,37.82,49.0,135.0,29.0,86.0,23.0,61182.99999999999,75000.0,False,False,False,True,False
62,-122.29,37.81,50.0,760.0,190.0,377.0,122.0,9011.0,86100.0,False,False,False,True,False
64,-122.3,37.81,48.0,828.0,182.0,392.0,133.0,25938.0,73500.0,False,False,False,True,False
66,-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,8056.0,84400.0,False,False,False,True,False
69,-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,9802.0,129200.0,False,False,False,True,False
70,-122.29,37.81,26.0,768.0,152.0,392.0,127.0,17719.0,82500.0,False,False,False,True,False
71,-122.29,37.81,46.0,935.0,297.0,582.0,277.0,7286.0,95200.0,False,False,False,True,False
72,-122.29,37.81,49.0,844.0,204.0,560.0,152.0,17500.0,75000.0,False,False,False,True,False
73,-122.29,37.81,46.0,12.0,4.0,18.0,7.0,4999.0,67500.0,False,False,False,True,False
74,-122.29,37.81,20.0,835.0,161.0,290.0,133.0,24830.0,137500.0,False,False,False,True,False
75,-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,9241.0,177500.0,False,False,False,True,False
76,-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,24464.0,102100.0,False,False,False,True,False
77,-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,11111.0,108300.0,False,False,False,True,False
78,-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,8026.0,112500.0,False,False,False,True,False
79,-122.28,37.8,38.0,684.0,176.0,344.0,155.0,20114.0,131300.0,False,False,False,True,False
80,-122.28,37.81,17.0,924.0,289.0,609.0,289.0,15000.0,162500.0,False,False,False,True,False
84,-122.28,37.81,35.0,948.0,184.0,467.0,169.0,18088.0,118800.0,False,False,False,True,False
86,-122.27,37.81,40.0,880.0,451.0,582.0,380.0,9770.0,118800.0,False,False,False,True,False
87,-122.27,37.81,10.0,875.0,348.0,546.0,330.0,7600.0,162500.0,False,False,False,True,False
88,-122.27,37.8,10.0,105.0,42.0,125.0,39.0,9722.0,137500.0,False,False,False,True,False
90,-122.27,37.8,16.0,994.0,392.0,800.0,362.0,20938.0,162500.0,False,False,False,True,False
93,-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,26354.000000000004,187500.0,False,False,False,True,False
94,-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,18477.0,179200.0,False,False,False,True,False
95,-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,20096.0,130000.0,False,False,False,True,False
96,-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,28344.999999999996,183800.0,False,False,False,True,False
97,-122.26,37.81,29.0,335.0,107.0,202.0,91.0,20062.000000000004,125000.0,False,False,False,True,False
98,-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,12185.0,170000.0,False,False,False,True,False
99,-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,26104.0,193100.0,False,False,False,True,False
100,-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,24912.0,257800.0,False,False,False,True,False
101,-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,32176.999999999996,273400.0,False,False,False,True,False
102,-122.25,37.81,39.0,854.0,242.0,389.0,228.0,31250.0,237500.0,False,False,False,True,False
104,-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,28405.999999999996,335700.0,False,False,False,True,False
109,-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,39063.0,225000.0,False,False,False,True,False
111,-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,26429.0,218500.0,False,False,False,True,False
112,-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,30233.0,255000.0,False,False,False,True,False
114,-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,34722.0,243100.0,False,False,False,True,False
