,Iteration,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R^2 Score,Test R^2 Score,Pipeline,Note,Date
0,1,3588930442.234168,3561884680.4092884,59907.68266453117,59681.52712866259,44454.606284870904,44197.77828590588,0.6067816795499372,0.6163000585230314,Model: linreg,No outliers. Drop ocean_proximity. LinReg,"Aug 07, 2023 02:38 AM PST"
1,2,3449797199.985582,3409324790.5330043,58734.974248615974,58389.423618777095,43054.71345911399,42812.84192680933,0.622025703003817,0.6327343976635498,transformer_ohe -> Model: linreg,No outliers. OHE. LinReg,"Aug 07, 2023 02:40 AM PST"
2,3,2924152998.411446,2832673984.9766474,54075.43803254345,53222.87088251297,38868.69471175602,38094.34687939984,0.6796174934896271,0.6948534442350396,Transformer: ohe_poly2 -> Model: linreg,No outliers. OHE. Poly 2. LinReg,"Aug 07, 2023 02:42 AM PST"
3,4,2645702003.0443425,2821642957.0826178,51436.38792765626,53119.13927279524,36930.86699471482,37336.066047077125,0.7101257561846656,0.6960417490615967,Transformer: ohe_poly3 -> Model: linreg,No outliers. OHE. Poly 3. LinReg,"Aug 07, 2023 02:44 AM PST"
4,5,2984158897.784607,2895565761.0599055,54627.45553093799,53810.46144626438,39389.146063350585,38716.77547560544,0.67304299466654,0.6880784997975471,Transformer: ord_poly2 -> Model: linreg,No outliers. Ordinal. Poly 2. LinReg,"Aug 07, 2023 02:46 AM PST"
5,6,2937760896.763764,2842740748.2336235,54201.11527232409,53317.358788987505,39017.422744741845,38218.07786356759,0.6781265548879799,0.6937690137104331,Transformer: js_poly2 -> Model: linreg,No outliers. James Stein. Poly 2. LinReg,"Aug 07, 2023 02:47 AM PST"
6,7,3254086757.0307593,3208231912.448421,57044.60322441343,56641.25627533716,41552.31537580368,41289.59764941966,0.6434685626278465,0.6543968972882214,Transformer: log_ohe -> Model: linreg,No outliers. OHE. Log. LinReg,"Aug 07, 2023 02:53 AM PST"
7,8,2880603098.119483,2796613617.743351,53671.2502008243,52883.018235945565,38542.35753809304,37839.979373321796,0.6843890038112128,0.6987380059315917,Transformer: log_ohe_poly2 -> Model: linreg,No outliers. OHE. Log. Poly 2. LinReg,"Aug 07, 2023 02:54 AM PST"
8,9,2660042805.192843,2881673717.713683,51575.60280978636,53681.22313913575,37293.54297272181,37851.444357082575,0.7085545175592578,0.6895750042319154,Transformer: log_ohe_poly3 -> Model: linreg,No outliers. OHE. Log. Poly 3. LinReg,"Aug 07, 2023 02:56 AM PST"
9,10,2939562710.5713644,2859492087.4993677,54217.734281057565,53474.2189049954,39075.584722335945,38459.186850978265,0.677929140585699,0.6919644949029381,Transformer: log_ord_poly2 -> Model: linreg,No outliers. Ordinal. Log. Poly 2. LinReg,"Aug 07, 2023 02:59 AM PST"
10,11,2894988505.9307146,2806847192.777345,53805.09739727933,52979.68660512579,38705.527117047626,37993.21061277167,0.6828128780017082,0.6976356057996502,Transformer: log_js_poly2 -> Model: linreg,No outliers. James Stein. Log. Poly 2. LinReg,"Aug 07, 2023 03:00 AM PST"
11,12,2880638171.0408964,2796874878.7398376,53671.576938272425,52885.488356824666,38520.49208537966,37820.7923344867,0.6843851610743659,0.698709861890429,Transformer: log_ohe_poly2 -> Scaler: stand -> Model: linreg,No outliers. OHE. Log. Poly 2. Standard Scaler. LinReg,"Aug 07, 2023 03:02 AM PST"
12,13,2880603098.1194663,2796613625.0569296,53671.25020082415,52883.018305094214,38542.35749424523,37839.97940253738,0.6843890038112146,0.698738005143745,Transformer: log_ohe_poly2 -> Scaler: robust -> Model: linreg,No outliers. OHE. Log. Poly 2. Robust scaler. LinReg,"Aug 07, 2023 03:04 AM PST"
13,14,2880603098.119464,2796613625.056718,53671.25020082413,52883.01830509221,38542.35749425553,37839.97940254521,0.6843890038112148,0.6987380051437677,Transformer: log_ohe_poly2 -> Scaler: minmax -> Model: linreg,No outliers. OHE. Log. Poly 2. MinMax scaler. LinReg,"Aug 07, 2023 03:04 AM PST"
14,15,2595052953.4969983,2813655232.18532,50941.66225690911,53043.89910428267,36620.50129980895,37187.24067811148,0.7156750791698725,0.6969022175637031,Transformer: log_ohe_poly3 -> Scaler: stand -> Model: linreg,No outliers. OHE. Log. Poly 3. Standard scaler. LinReg,"Aug 07, 2023 03:05 AM PST"
15,16,2649309285.6732697,2873536446.9971113,51471.441457115514,53605.377034371384,37214.382686715966,37934.21317029987,0.7097305271214207,0.690451582385864,Transformer: log_ord_poly3 -> Scaler: stand -> Model: linreg,No outliers. Ordinal. Log. Poly 3. Standard scaler. LinReg,"Aug 07, 2023 03:08 AM PST"
16,17,2595052953.496915,2813655232.183071,50941.66225690829,53043.89910426147,36620.50129980958,37187.24067809526,0.7156750791698816,0.6969022175639452,Transformer: log_ohe_drop_poly3 -> Scaler: stand -> Model: linreg,No outliers. OHE Drop. Log. Poly 3. Standard scaler. LinReg,"Aug 07, 2023 03:10 AM PST"
17,18,2880603098.1194663,2796613625.056926,53671.25020082415,52883.01830509418,38542.35749424543,37839.97940253746,0.6843890038112146,0.6987380051437453,Transformer: log_ohe_drop_poly2 -> Scaler: stand -> Model: linreg,No outliers. OHE Drop. Log. Poly 2. Standard scaler. LinReg,"Aug 07, 2023 03:12 AM PST"
